LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CAN,HUR,TOT,PC_LF,M,1991-05,10.2,
CAN,HUR,TOT,PC_LF,M,1991-06,10.5,
CAN,HUR,TOT,PC_LF,M,1991-07,10.5,
CAN,HUR,TOT,PC_LF,M,1991-08,10.5,
CAN,HUR,TOT,PC_LF,M,1991-09,10.3,
CAN,HUR,TOT,PC_LF,M,1991-10,10.3,
CAN,HUR,TOT,PC_LF,M,1991-11,10.4,
CAN,HUR,TOT,PC_LF,M,1991-12,10.3,
CAN,HUR,TOT,PC_LF,M,1992-01,10.4,
CAN,HUR,TOT,PC_LF,M,1992-02,10.5,
CAN,HUR,TOT,PC_LF,M,1992-03,10.9,
CAN,HUR,TOT,PC_LF,M,1992-04,10.7,
CAN,HUR,TOT,PC_LF,M,1992-05,10.9,
CAN,HUR,TOT,PC_LF,M,1992-06,11.4,
CAN,HUR,TOT,PC_LF,M,1992-07,11.3,
CAN,HUR,TOT,PC_LF,M,1992-08,11.7,
CAN,HUR,TOT,PC_LF,M,1992-09,11.6,
CAN,HUR,TOT,PC_LF,M,1992-10,11.4,
CAN,HUR,TOT,PC_LF,M,1992-11,12.1,
CAN,HUR,TOT,PC_LF,M,1992-12,11.7,
CAN,HUR,TOT,PC_LF,M,1993-01,11.2,
CAN,HUR,TOT,PC_LF,M,1993-02,11,
CAN,HUR,TOT,PC_LF,M,1993-03,11.2,
CAN,HUR,TOT,PC_LF,M,1993-04,11.6,
CAN,HUR,TOT,PC_LF,M,1993-05,11.6,
CAN,HUR,TOT,PC_LF,M,1993-06,11.7,
CAN,HUR,TOT,PC_LF,M,1993-07,11.6,
CAN,HUR,TOT,PC_LF,M,1993-08,11.2,
CAN,HUR,TOT,PC_LF,M,1993-09,11.5,
CAN,HUR,TOT,PC_LF,M,1993-10,11.3,
CAN,HUR,TOT,PC_LF,M,1993-11,11.2,
CAN,HUR,TOT,PC_LF,M,1993-12,11.4,
CAN,HUR,TOT,PC_LF,M,1994-01,11.4,
CAN,HUR,TOT,PC_LF,M,1994-02,11.1,
CAN,HUR,TOT,PC_LF,M,1994-03,10.6,
CAN,HUR,TOT,PC_LF,M,1994-04,10.9,
CAN,HUR,TOT,PC_LF,M,1994-05,10.7,
CAN,HUR,TOT,PC_LF,M,1994-06,10.3,
CAN,HUR,TOT,PC_LF,M,1994-07,10.1,
CAN,HUR,TOT,PC_LF,M,1994-08,10.2,
CAN,HUR,TOT,PC_LF,M,1994-09,10.1,
CAN,HUR,TOT,PC_LF,M,1994-10,10,
CAN,HUR,TOT,PC_LF,M,1994-11,9.7,
CAN,HUR,TOT,PC_LF,M,1994-12,9.6,
CAN,HUR,TOT,PC_LF,M,1995-01,9.6,
CAN,HUR,TOT,PC_LF,M,1995-02,9.6,
CAN,HUR,TOT,PC_LF,M,1995-03,9.7,
CAN,HUR,TOT,PC_LF,M,1995-04,9.5,
CAN,HUR,TOT,PC_LF,M,1995-05,9.5,
CAN,HUR,TOT,PC_LF,M,1995-06,9.5,
CAN,HUR,TOT,PC_LF,M,1995-07,9.6,
CAN,HUR,TOT,PC_LF,M,1995-08,9.5,
CAN,HUR,TOT,PC_LF,M,1995-09,9.2,
CAN,HUR,TOT,PC_LF,M,1995-10,9.3,
CAN,HUR,TOT,PC_LF,M,1995-11,9.2,
CAN,HUR,TOT,PC_LF,M,1995-12,9.4,
CAN,HUR,TOT,PC_LF,M,1996-01,9.4,
CAN,HUR,TOT,PC_LF,M,1996-02,9.5,
CAN,HUR,TOT,PC_LF,M,1996-03,9.6,
CAN,HUR,TOT,PC_LF,M,1996-04,9.3,
CAN,HUR,TOT,PC_LF,M,1996-05,9.2,
CAN,HUR,TOT,PC_LF,M,1996-06,9.8,
CAN,HUR,TOT,PC_LF,M,1996-07,9.7,
CAN,HUR,TOT,PC_LF,M,1996-08,9.4,
CAN,HUR,TOT,PC_LF,M,1996-09,9.9,
CAN,HUR,TOT,PC_LF,M,1996-10,9.9,
CAN,HUR,TOT,PC_LF,M,1996-11,9.9,
CAN,HUR,TOT,PC_LF,M,1996-12,9.7,
CAN,HUR,TOT,PC_LF,M,1997-01,9.5,
CAN,HUR,TOT,PC_LF,M,1997-02,9.5,
CAN,HUR,TOT,PC_LF,M,1997-03,9.3,
CAN,HUR,TOT,PC_LF,M,1997-04,9.4,
CAN,HUR,TOT,PC_LF,M,1997-05,9.4,
CAN,HUR,TOT,PC_LF,M,1997-06,9.1,
CAN,HUR,TOT,PC_LF,M,1997-07,8.9,
CAN,HUR,TOT,PC_LF,M,1997-08,8.9,
CAN,HUR,TOT,PC_LF,M,1997-09,8.8,
CAN,HUR,TOT,PC_LF,M,1997-10,8.9,
CAN,HUR,TOT,PC_LF,M,1997-11,8.9,
CAN,HUR,TOT,PC_LF,M,1997-12,8.5,
CAN,HUR,TOT,PC_LF,M,1998-01,8.8,
CAN,HUR,TOT,PC_LF,M,1998-02,8.6,
CAN,HUR,TOT,PC_LF,M,1998-03,8.4,
CAN,HUR,TOT,PC_LF,M,1998-04,8.3,
CAN,HUR,TOT,PC_LF,M,1998-05,8.3,
CAN,HUR,TOT,PC_LF,M,1998-06,8.4,
CAN,HUR,TOT,PC_LF,M,1998-07,8.3,
CAN,HUR,TOT,PC_LF,M,1998-08,8.1,
CAN,HUR,TOT,PC_LF,M,1998-09,8.2,
CAN,HUR,TOT,PC_LF,M,1998-10,8,
CAN,HUR,TOT,PC_LF,M,1998-11,8,
CAN,HUR,TOT,PC_LF,M,1998-12,8.1,
CAN,HUR,TOT,PC_LF,M,1999-01,7.9,
CAN,HUR,TOT,PC_LF,M,1999-02,7.9,
CAN,HUR,TOT,PC_LF,M,1999-03,7.9,
CAN,HUR,TOT,PC_LF,M,1999-04,8.2,
CAN,HUR,TOT,PC_LF,M,1999-05,7.9,
CAN,HUR,TOT,PC_LF,M,1999-06,7.6,
CAN,HUR,TOT,PC_LF,M,1999-07,7.6,
CAN,HUR,TOT,PC_LF,M,1999-08,7.4,
CAN,HUR,TOT,PC_LF,M,1999-09,7.5,
CAN,HUR,TOT,PC_LF,M,1999-10,7.2,
CAN,HUR,TOT,PC_LF,M,1999-11,6.9,
CAN,HUR,TOT,PC_LF,M,1999-12,6.8,
CAN,HUR,TOT,PC_LF,M,2000-01,6.8,
CAN,HUR,TOT,PC_LF,M,2000-02,6.9,
CAN,HUR,TOT,PC_LF,M,2000-03,6.9,
CAN,HUR,TOT,PC_LF,M,2000-04,6.7,
CAN,HUR,TOT,PC_LF,M,2000-05,6.6,
CAN,HUR,TOT,PC_LF,M,2000-06,6.7,
CAN,HUR,TOT,PC_LF,M,2000-07,6.8,
CAN,HUR,TOT,PC_LF,M,2000-08,7,
CAN,HUR,TOT,PC_LF,M,2000-09,6.9,
CAN,HUR,TOT,PC_LF,M,2000-10,7,
CAN,HUR,TOT,PC_LF,M,2000-11,6.9,
CAN,HUR,TOT,PC_LF,M,2000-12,6.8,
CAN,HUR,TOT,PC_LF,M,2001-01,6.9,
CAN,HUR,TOT,PC_LF,M,2001-02,7,
CAN,HUR,TOT,PC_LF,M,2001-03,7.1,
CAN,HUR,TOT,PC_LF,M,2001-04,7.1,
CAN,HUR,TOT,PC_LF,M,2001-05,7,
CAN,HUR,TOT,PC_LF,M,2001-06,7.2,
CAN,HUR,TOT,PC_LF,M,2001-07,7.1,
CAN,HUR,TOT,PC_LF,M,2001-08,7.2,
CAN,HUR,TOT,PC_LF,M,2001-09,7.2,
CAN,HUR,TOT,PC_LF,M,2001-10,7.3,
CAN,HUR,TOT,PC_LF,M,2001-11,7.5,
CAN,HUR,TOT,PC_LF,M,2001-12,8.1,
CAN,HUR,TOT,PC_LF,M,2002-01,8,
CAN,HUR,TOT,PC_LF,M,2002-02,7.9,
CAN,HUR,TOT,PC_LF,M,2002-03,7.9,
CAN,HUR,TOT,PC_LF,M,2002-04,7.7,
CAN,HUR,TOT,PC_LF,M,2002-05,7.8,
CAN,HUR,TOT,PC_LF,M,2002-06,7.6,
CAN,HUR,TOT,PC_LF,M,2002-07,7.6,
CAN,HUR,TOT,PC_LF,M,2002-08,7.4,
CAN,HUR,TOT,PC_LF,M,2002-09,7.6,
CAN,HUR,TOT,PC_LF,M,2002-10,7.6,
CAN,HUR,TOT,PC_LF,M,2002-11,7.5,
CAN,HUR,TOT,PC_LF,M,2002-12,7.6,
CAN,HUR,TOT,PC_LF,M,2003-01,7.5,
CAN,HUR,TOT,PC_LF,M,2003-02,7.5,
CAN,HUR,TOT,PC_LF,M,2003-03,7.4,
CAN,HUR,TOT,PC_LF,M,2003-04,7.6,
CAN,HUR,TOT,PC_LF,M,2003-05,7.8,
CAN,HUR,TOT,PC_LF,M,2003-06,7.6,
CAN,HUR,TOT,PC_LF,M,2003-07,7.7,
CAN,HUR,TOT,PC_LF,M,2003-08,7.8,
CAN,HUR,TOT,PC_LF,M,2003-09,7.9,
CAN,HUR,TOT,PC_LF,M,2003-10,7.6,
CAN,HUR,TOT,PC_LF,M,2003-11,7.4,
CAN,HUR,TOT,PC_LF,M,2003-12,7.3,
CAN,HUR,TOT,PC_LF,M,2004-01,7.3,
CAN,HUR,TOT,PC_LF,M,2004-02,7.3,
CAN,HUR,TOT,PC_LF,M,2004-03,7.3,
CAN,HUR,TOT,PC_LF,M,2004-04,7.2,
CAN,HUR,TOT,PC_LF,M,2004-05,7.1,
CAN,HUR,TOT,PC_LF,M,2004-06,7.2,
CAN,HUR,TOT,PC_LF,M,2004-07,7.1,
CAN,HUR,TOT,PC_LF,M,2004-08,7,
CAN,HUR,TOT,PC_LF,M,2004-09,6.9,
CAN,HUR,TOT,PC_LF,M,2004-10,7.1,
CAN,HUR,TOT,PC_LF,M,2004-11,7.2,
CAN,HUR,TOT,PC_LF,M,2004-12,7.1,
CAN,HUR,TOT,PC_LF,M,2005-01,6.9,
CAN,HUR,TOT,PC_LF,M,2005-02,7,
CAN,HUR,TOT,PC_LF,M,2005-03,6.9,
CAN,HUR,TOT,PC_LF,M,2005-04,6.7,
CAN,HUR,TOT,PC_LF,M,2005-05,7,
CAN,HUR,TOT,PC_LF,M,2005-06,6.8,
CAN,HUR,TOT,PC_LF,M,2005-07,6.7,
CAN,HUR,TOT,PC_LF,M,2005-08,6.7,
CAN,HUR,TOT,PC_LF,M,2005-09,6.7,
CAN,HUR,TOT,PC_LF,M,2005-10,6.7,
CAN,HUR,TOT,PC_LF,M,2005-11,6.3,
CAN,HUR,TOT,PC_LF,M,2005-12,6.6,
CAN,HUR,TOT,PC_LF,M,2006-01,6.7,
CAN,HUR,TOT,PC_LF,M,2006-02,6.6,
CAN,HUR,TOT,PC_LF,M,2006-03,6.5,
CAN,HUR,TOT,PC_LF,M,2006-04,6.5,
CAN,HUR,TOT,PC_LF,M,2006-05,6.2,
CAN,HUR,TOT,PC_LF,M,2006-06,6.3,
CAN,HUR,TOT,PC_LF,M,2006-07,6.5,
CAN,HUR,TOT,PC_LF,M,2006-08,6.5,
CAN,HUR,TOT,PC_LF,M,2006-09,6.5,
CAN,HUR,TOT,PC_LF,M,2006-10,6.3,
CAN,HUR,TOT,PC_LF,M,2006-11,6.5,
CAN,HUR,TOT,PC_LF,M,2006-12,6.3,
CAN,HUR,TOT,PC_LF,M,2007-01,6.4,
CAN,HUR,TOT,PC_LF,M,2007-02,6.3,
CAN,HUR,TOT,PC_LF,M,2007-03,6.3,
CAN,HUR,TOT,PC_LF,M,2007-04,6.3,
CAN,HUR,TOT,PC_LF,M,2007-05,6.2,
CAN,HUR,TOT,PC_LF,M,2007-06,6.1,
CAN,HUR,TOT,PC_LF,M,2007-07,6,
CAN,HUR,TOT,PC_LF,M,2007-08,6,
CAN,HUR,TOT,PC_LF,M,2007-09,6,
CAN,HUR,TOT,PC_LF,M,2007-10,6,
CAN,HUR,TOT,PC_LF,M,2007-11,6.1,
CAN,HUR,TOT,PC_LF,M,2007-12,6.2,
CAN,HUR,TOT,PC_LF,M,2008-01,6.1,
CAN,HUR,TOT,PC_LF,M,2008-02,6.1,
CAN,HUR,TOT,PC_LF,M,2008-03,6.2,
CAN,HUR,TOT,PC_LF,M,2008-04,6.2,
CAN,HUR,TOT,PC_LF,M,2008-05,6.2,
CAN,HUR,TOT,PC_LF,M,2008-06,6.1,
CAN,HUR,TOT,PC_LF,M,2008-07,6.2,
CAN,HUR,TOT,PC_LF,M,2008-08,6.2,
CAN,HUR,TOT,PC_LF,M,2008-09,6.3,
CAN,HUR,TOT,PC_LF,M,2008-10,6.4,
CAN,HUR,TOT,PC_LF,M,2008-11,6.7,
CAN,HUR,TOT,PC_LF,M,2008-12,7,
CAN,HUR,TOT,PC_LF,M,2009-01,7.5,
CAN,HUR,TOT,PC_LF,M,2009-02,8.1,
CAN,HUR,TOT,PC_LF,M,2009-03,8.3,
CAN,HUR,TOT,PC_LF,M,2009-04,8.4,
CAN,HUR,TOT,PC_LF,M,2009-05,8.6,
CAN,HUR,TOT,PC_LF,M,2009-06,8.8,
CAN,HUR,TOT,PC_LF,M,2009-07,8.8,
CAN,HUR,TOT,PC_LF,M,2009-08,8.8,
CAN,HUR,TOT,PC_LF,M,2009-09,8.5,
CAN,HUR,TOT,PC_LF,M,2009-10,8.5,
CAN,HUR,TOT,PC_LF,M,2009-11,8.6,
CAN,HUR,TOT,PC_LF,M,2009-12,8.6,
CAN,HUR,TOT,PC_LF,M,2010-01,8.4,
CAN,HUR,TOT,PC_LF,M,2010-02,8.4,
CAN,HUR,TOT,PC_LF,M,2010-03,8.3,
CAN,HUR,TOT,PC_LF,M,2010-04,8.2,
CAN,HUR,TOT,PC_LF,M,2010-05,8.1,
CAN,HUR,TOT,PC_LF,M,2010-06,8,
CAN,HUR,TOT,PC_LF,M,2010-07,8.2,
CAN,HUR,TOT,PC_LF,M,2010-08,8.2,
CAN,HUR,TOT,PC_LF,M,2010-09,8.2,
CAN,HUR,TOT,PC_LF,M,2010-10,8.1,
CAN,HUR,TOT,PC_LF,M,2010-11,7.8,
CAN,HUR,TOT,PC_LF,M,2010-12,7.8,
CAN,HUR,TOT,PC_LF,M,2011-01,7.8,
CAN,HUR,TOT,PC_LF,M,2011-02,7.8,
CAN,HUR,TOT,PC_LF,M,2011-03,7.8,
CAN,HUR,TOT,PC_LF,M,2011-04,7.8,
CAN,HUR,TOT,PC_LF,M,2011-05,7.7,
CAN,HUR,TOT,PC_LF,M,2011-06,7.7,
CAN,HUR,TOT,PC_LF,M,2011-07,7.4,
CAN,HUR,TOT,PC_LF,M,2011-08,7.4,
CAN,HUR,TOT,PC_LF,M,2011-09,7.4,
CAN,HUR,TOT,PC_LF,M,2011-10,7.5,
CAN,HUR,TOT,PC_LF,M,2011-11,7.6,
CAN,HUR,TOT,PC_LF,M,2011-12,7.5,
CAN,HUR,TOT,PC_LF,M,2012-01,7.7,
CAN,HUR,TOT,PC_LF,M,2012-02,7.6,
CAN,HUR,TOT,PC_LF,M,2012-03,7.3,
CAN,HUR,TOT,PC_LF,M,2012-04,7.4,
CAN,HUR,TOT,PC_LF,M,2012-05,7.5,
CAN,HUR,TOT,PC_LF,M,2012-06,7.4,
CAN,HUR,TOT,PC_LF,M,2012-07,7.3,
CAN,HUR,TOT,PC_LF,M,2012-08,7.4,
CAN,HUR,TOT,PC_LF,M,2012-09,7.4,
CAN,HUR,TOT,PC_LF,M,2012-10,7.4,
CAN,HUR,TOT,PC_LF,M,2012-11,7.3,
CAN,HUR,TOT,PC_LF,M,2012-12,7.2,
CAN,HUR,TOT,PC_LF,M,2013-01,7.1,
CAN,HUR,TOT,PC_LF,M,2013-02,7,
CAN,HUR,TOT,PC_LF,M,2013-03,7.3,
CAN,HUR,TOT,PC_LF,M,2013-04,7.2,
CAN,HUR,TOT,PC_LF,M,2013-05,7,
CAN,HUR,TOT,PC_LF,M,2013-06,7.2,
CAN,HUR,TOT,PC_LF,M,2013-07,7.3,
CAN,HUR,TOT,PC_LF,M,2013-08,7.2,
CAN,HUR,TOT,PC_LF,M,2013-09,7.1,
CAN,HUR,TOT,PC_LF,M,2013-10,7.2,
CAN,HUR,TOT,PC_LF,M,2013-11,7.1,
CAN,HUR,TOT,PC_LF,M,2013-12,7.4,
CAN,HUR,TOT,PC_LF,M,2014-01,7.2,
CAN,HUR,TOT,PC_LF,M,2014-02,7.2,
CAN,HUR,TOT,PC_LF,M,2014-03,7.1,
CAN,HUR,TOT,PC_LF,M,2014-04,7.1,
CAN,HUR,TOT,PC_LF,M,2014-05,7.3,
CAN,HUR,TOT,PC_LF,M,2014-06,7.1,
CAN,HUR,TOT,PC_LF,M,2014-07,7.1,
CAN,HUR,TOT,PC_LF,M,2014-08,7,
CAN,HUR,TOT,PC_LF,M,2014-09,7,
CAN,HUR,TOT,PC_LF,M,2014-10,6.8,
CAN,HUR,TOT,PC_LF,M,2014-11,6.8,
CAN,HUR,TOT,PC_LF,M,2014-12,6.7,
CAN,HUR,TOT,PC_LF,M,2015-01,6.8,
CAN,HUR,TOT,PC_LF,M,2015-02,6.9,
CAN,HUR,TOT,PC_LF,M,2015-03,6.8,
CAN,HUR,TOT,PC_LF,M,2015-04,6.9,
CAN,HUR,TOT,PC_LF,M,2015-05,6.8,
CAN,HUR,TOT,PC_LF,M,2015-06,6.9,
CAN,HUR,TOT,PC_LF,M,2015-07,6.9,
CAN,HUR,TOT,PC_LF,M,2015-08,7,
CAN,HUR,TOT,PC_LF,M,2015-09,7.1,
CAN,HUR,TOT,PC_LF,M,2015-10,7,
CAN,HUR,TOT,PC_LF,M,2015-11,7.1,
CAN,HUR,TOT,PC_LF,M,2015-12,7.2,
CAN,HUR,TOT,PC_LF,M,2016-01,7.3,
CAN,HUR,TOT,PC_LF,M,2016-02,7.3,
CAN,HUR,TOT,PC_LF,M,2016-03,7.2,
CAN,HUR,TOT,PC_LF,M,2016-04,7.3,
CAN,HUR,TOT,PC_LF,M,2016-05,7,
CAN,HUR,TOT,PC_LF,M,2016-06,6.9,
CAN,HUR,TOT,PC_LF,M,2016-07,6.9,
CAN,HUR,TOT,PC_LF,M,2016-08,6.9,
CAN,HUR,TOT,PC_LF,M,2016-09,7,
CAN,HUR,TOT,PC_LF,M,2016-10,6.9,
CAN,HUR,TOT,PC_LF,M,2016-11,6.8,
CAN,HUR,TOT,PC_LF,M,2016-12,6.9,
CAN,HUR,TOT,PC_LF,M,2017-01,6.8,
CAN,HUR,TOT,PC_LF,M,2017-02,6.6,
CAN,HUR,TOT,PC_LF,M,2017-03,6.7,
CAN,HUR,TOT,PC_LF,M,2017-04,6.5,
CAN,HUR,TOT,PC_LF,M,2017-05,6.6,
CAN,HUR,TOT,PC_LF,M,2017-06,6.5,
CAN,HUR,TOT,PC_LF,M,2017-07,6.3,
CAN,HUR,TOT,PC_LF,M,2017-08,6.2,
CAN,HUR,TOT,PC_LF,M,2017-09,6.2,
CAN,HUR,TOT,PC_LF,M,2017-10,6.4,
CAN,HUR,TOT,PC_LF,M,2017-11,6.1,
CAN,HUR,TOT,PC_LF,M,2017-12,6,
CAN,HUR,TOT,PC_LF,M,2018-01,5.9,
CAN,HUR,TOT,PC_LF,M,2018-02,6,
CAN,HUR,TOT,PC_LF,M,2018-03,5.8,
CAN,HUR,TOT,PC_LF,M,2018-04,5.8,
CAN,HUR,TOT,PC_LF,M,2018-05,5.9,
CAN,HUR,TOT,PC_LF,M,2018-06,6,
CAN,HUR,TOT,PC_LF,M,2018-07,5.9,
CAN,HUR,TOT,PC_LF,M,2018-08,6,
CAN,HUR,TOT,PC_LF,M,2018-09,5.8,
CAN,HUR,TOT,PC_LF,M,2018-10,5.7,
CAN,HUR,TOT,PC_LF,M,2018-11,5.7,
CAN,HUR,TOT,PC_LF,M,2018-12,5.7,
CAN,HUR,TOT,PC_LF,M,2019-01,5.7,
CAN,HUR,TOT,PC_LF,M,2019-02,5.8,
CAN,HUR,TOT,PC_LF,M,2019-03,5.9,
CAN,HUR,TOT,PC_LF,M,2019-04,5.7,
CAN,HUR,TOT,PC_LF,M,2019-05,5.4,
CAN,HUR,TOT,PC_LF,M,2019-06,5.6,
CAN,HUR,TOT,PC_LF,M,2019-07,5.8,
CAN,HUR,TOT,PC_LF,M,2019-08,5.8,
CAN,HUR,TOT,PC_LF,M,2019-09,5.6,
CAN,HUR,TOT,PC_LF,M,2019-10,5.6,
CAN,HUR,TOT,PC_LF,M,2019-11,5.9,
CAN,HUR,TOT,PC_LF,M,2019-12,5.6,
CAN,HUR,TOT,PC_LF,M,2020-01,5.5,
CAN,HUR,TOT,PC_LF,M,2020-02,5.7,
CAN,HUR,TOT,PC_LF,M,2020-03,8.4,
CAN,HUR,TOT,PC_LF,M,2020-04,13.6,
CAN,HUR,TOT,PC_LF,M,2020-05,14.1,
CAN,HUR,TOT,PC_LF,M,2020-06,12.4,
CAN,HUR,TOT,PC_LF,M,2020-07,11,
CAN,HUR,TOT,PC_LF,M,2020-08,10.2,
CAN,HUR,TOT,PC_LF,M,2020-09,9.2,
CAN,HUR,TOT,PC_LF,M,2020-10,9,
CAN,HUR,TOT,PC_LF,M,2020-11,8.7,
CAN,HUR,TOT,PC_LF,M,2020-12,8.9,
CAN,HUR,TOT,PC_LF,M,2021-01,9.2,
CAN,HUR,TOT,PC_LF,M,2021-02,8.5,
CAN,HUR,TOT,PC_LF,M,2021-03,7.6,
CAN,HUR,TOT,PC_LF,M,2021-04,8.2,
CAN,HUR,TOT,PC_LF,M,2021-05,8.2,
CAN,HUR,TOT,PC_LF,M,2021-06,7.8,
CAN,HUR,TOT,PC_LF,M,2021-07,7.5,
CAN,HUR,TOT,PC_LF,M,2021-08,7.2,
CAN,HUR,TOT,PC_LF,M,2021-09,7.1,
CAN,HUR,TOT,PC_LF,M,2021-10,6.6,
CAN,HUR,TOT,PC_LF,M,2021-11,6.2,
CAN,HUR,TOT,PC_LF,M,2021-12,6,
CAN,HUR,TOT,PC_LF,M,2022-01,6.5,
CAN,HUR,TOT,PC_LF,M,2022-02,5.4,
CAN,HUR,TOT,PC_LF,M,2022-03,5.3,
CAN,HUR,TOT,PC_LF,M,2022-04,5.3,
CAN,HUR,TOT,PC_LF,M,2022-05,5.2,
CAN,HUR,TOT,PC_LF,M,2022-06,4.9,
CAN,HUR,TOT,PC_LF,M,2022-07,4.9,
CAN,HUR,TOT,PC_LF,M,2022-08,5.3,
CAN,HUR,TOT,PC_LF,M,2022-09,5.2,
CAN,HUR,TOT,PC_LF,M,2022-10,5.2,
CAN,HUR,TOT,PC_LF,M,2022-11,5.1,
CAN,HUR,TOT,PC_LF,M,2022-12,5,
CAN,HUR,TOT,PC_LF,M,2023-01,5,
CAN,HUR,TOT,PC_LF,M,2023-02,5,
CAN,HUR,TOT,PC_LF,M,2023-03,5,
FRA,HUR,TOT,PC_LF,M,1991-05,9.4,
FRA,HUR,TOT,PC_LF,M,1991-06,9.5,
FRA,HUR,TOT,PC_LF,M,1991-07,9.6,
FRA,HUR,TOT,PC_LF,M,1991-08,9.7,
FRA,HUR,TOT,PC_LF,M,1991-09,9.8,
FRA,HUR,TOT,PC_LF,M,1991-10,9.9,
FRA,HUR,TOT,PC_LF,M,1991-11,10,
FRA,HUR,TOT,PC_LF,M,1991-12,10.1,
FRA,HUR,TOT,PC_LF,M,1992-01,10.2,
FRA,HUR,TOT,PC_LF,M,1992-02,10.3,
FRA,HUR,TOT,PC_LF,M,1992-03,10.3,
FRA,HUR,TOT,PC_LF,M,1992-04,10.4,
FRA,HUR,TOT,PC_LF,M,1992-05,10.5,
FRA,HUR,TOT,PC_LF,M,1992-06,10.6,
FRA,HUR,TOT,PC_LF,M,1992-07,10.7,
FRA,HUR,TOT,PC_LF,M,1992-08,10.8,
FRA,HUR,TOT,PC_LF,M,1992-09,10.9,
FRA,HUR,TOT,PC_LF,M,1992-10,10.9,
FRA,HUR,TOT,PC_LF,M,1992-11,11,
FRA,HUR,TOT,PC_LF,M,1992-12,11.1,
FRA,HUR,TOT,PC_LF,M,1993-01,11.2,
FRA,HUR,TOT,PC_LF,M,1993-02,11.3,
FRA,HUR,TOT,PC_LF,M,1993-03,11.4,
FRA,HUR,TOT,PC_LF,M,1993-04,11.6,
FRA,HUR,TOT,PC_LF,M,1993-05,11.7,
FRA,HUR,TOT,PC_LF,M,1993-06,11.8,
FRA,HUR,TOT,PC_LF,M,1993-07,11.9,
FRA,HUR,TOT,PC_LF,M,1993-08,12,
FRA,HUR,TOT,PC_LF,M,1993-09,12.2,
FRA,HUR,TOT,PC_LF,M,1993-10,12.3,
FRA,HUR,TOT,PC_LF,M,1993-11,12.4,
FRA,HUR,TOT,PC_LF,M,1993-12,12.4,
FRA,HUR,TOT,PC_LF,M,1994-01,12.5,
FRA,HUR,TOT,PC_LF,M,1994-02,12.5,
FRA,HUR,TOT,PC_LF,M,1994-03,12.5,
FRA,HUR,TOT,PC_LF,M,1994-04,12.5,
FRA,HUR,TOT,PC_LF,M,1994-05,12.4,
FRA,HUR,TOT,PC_LF,M,1994-06,12.3,
FRA,HUR,TOT,PC_LF,M,1994-07,12.3,
FRA,HUR,TOT,PC_LF,M,1994-08,12.2,
FRA,HUR,TOT,PC_LF,M,1994-09,12.1,
FRA,HUR,TOT,PC_LF,M,1994-10,12.1,
FRA,HUR,TOT,PC_LF,M,1994-11,12,
FRA,HUR,TOT,PC_LF,M,1994-12,11.9,
FRA,HUR,TOT,PC_LF,M,1995-01,11.8,
FRA,HUR,TOT,PC_LF,M,1995-02,11.8,
FRA,HUR,TOT,PC_LF,M,1995-03,11.8,
FRA,HUR,TOT,PC_LF,M,1995-04,11.8,
FRA,HUR,TOT,PC_LF,M,1995-05,11.9,
FRA,HUR,TOT,PC_LF,M,1995-06,11.9,
FRA,HUR,TOT,PC_LF,M,1995-07,11.9,
FRA,HUR,TOT,PC_LF,M,1995-08,12,
FRA,HUR,TOT,PC_LF,M,1995-09,12.1,
FRA,HUR,TOT,PC_LF,M,1995-10,12.1,
FRA,HUR,TOT,PC_LF,M,1995-11,12.2,
FRA,HUR,TOT,PC_LF,M,1995-12,12.2,
FRA,HUR,TOT,PC_LF,M,1996-01,12.3,
FRA,HUR,TOT,PC_LF,M,1996-02,12.3,
FRA,HUR,TOT,PC_LF,M,1996-03,12.3,
FRA,HUR,TOT,PC_LF,M,1996-04,12.3,
FRA,HUR,TOT,PC_LF,M,1996-05,12.4,
